InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 8:26,2.55,17850.0,United Kingdom
536365,71053,WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,17850.0,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 8:26,2.75,17850.0,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 8:26,3.39,17850.0,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 8:26,3.39,17850.0,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 8:26,7.65,17850.0,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 8:26,4.25,17850.0,United Kingdom
536414,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/2/2010 8:54,2.55,15118.0,United Kingdom
536414,22310,IVORY KNITTED MUG COSY,8,12/2/2010 8:54,1.65,15118.0,United Kingdom
536414,21777,RECIPE BOX WITH METAL HEART,8,12/2/2010 8:54,7.95,15118.0,United Kingdom
536414,85099B,JUMBO BAG RED RETROSPOT,4,12/2/2010 8:54,1.95,15118.0,United Kingdom
536414,21754,HOME BUILDING BLOCK WORD,8,12/2/2010 8:54,5.95,15118.0,United Kingdom
536414,21754,HOME BUILDING BLOCK WORD,2,12/2/2010 8:54,5.95,15118.0,United Kingdom
536474,21212,PACK OF 72 RETROSPOT CAKE CASES,6,12/2/2010 17:31,0.55,15492.0,United Kingdom
536474,84406B,CREAM CUPID HEARTS COAT HANGER,24,12/2/2010 17:31,2.75,15492.0,United Kingdom
536474,20725,LUNCH BAG RED RETROSPOT,48,12/2/2010 17:31,1.65,15492.0,United Kingdom
536474,22310,IVORY KNITTED MUG COSY,1,12/2/2010 17:31,1.65,15492.0,United Kingdom
536474,21755,LOVE BUILDING BLOCK WORD,2,12/2/2010 17:31,5.95,15492.0,United Kingdom
536552,20725,LUNCH BAG RED RETROSPOT,48,12/3/2010 8:42,1.65,17517.0,United Kingdom
536552,22960,JAM MAKING SET WITH JARS,1,12/3/2010 8:42,4.25,17517.0,United Kingdom
536552,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,12/3/2010 8:42,3.39,17517.0,United Kingdom
536552,48187,DOORMAT NEW ENGLAND,6,12/3/2010 8:42,7.95,17517.0,United Kingdom
536552,22633,HAND WARMER UNION JACK,8,12/3/2010 8:42,1.85,17517.0,United Kingdom
536552,22960,JAM MAKING SET WITH JARS,6,12/3/2010 8:42,4.25,17517.0,United Kingdom
536552,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,12,12/3/2010 8:42,4.25,17517.0,United Kingdom
536552,22960,JAM MAKING SET WITH JARS,6,12/3/2010 8:42,4.25,17517.0,United Kingdom
536552,22310,IVORY KNITTED MUG COSY,24,12/3/2010 8:42,1.65,17517.0,United Kingdom
536552,21777,RECIPE BOX WITH METAL HEART,48,12/3/2010 8:42,7.95,17517.0,United Kingdom
536552,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,12/3/2010 8:42,4.25,17517.0,United Kingdom
536552,22613,PACK OF 20 SPACEBOY NAPKINS,4,12/3/2010 8:42,0.85,17517.0,United Kingdom
536552,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,12/3/2010 8:42,3.39,17517.0,United Kingdom
536552,22623,BOX OF VINTAGE JIGSAW BLOCKS,12,12/3/2010 8:42,4.95,17517.0,United Kingdom
536552,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,12/3/2010 8:42,4.95,17517.0,United Kingdom
536552,48187,DOORMAT NEW ENGLAND,12,12/3/2010 8:42,7.95,17517.0,United Kingdom
536552,22423,REGENCY CAKESTAND 3 TIER,2,12/3/2010 8:42,12.75,17517.0,United Kingdom
536552,22423,REGENCY CAKESTAND 3 TIER,4,12/3/2010 8:42,12.75,17517.0,United Kingdom
536552,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/3/2010 8:42,2.55,17517.0,United Kingdom
536552,22720,SET OF 3 CAKE TINS PANTRY DESIGN,6,12/3/2010 8:42,4.95,17517.0,United Kingdom
536552,22960,JAM MAKING SET WITH JARS,12,12/3/2010 8:42,4.25,17517.0,United Kingdom
536552,21755,LOVE BUILDING BLOCK WORD,24,12/3/2010 8:42,5.95,17517.0,United Kingdom
536619,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,12/3/2010 11:51,3.39,,United Kingdom
536619,22960,JAM MAKING SET WITH JARS,12,12/3/2010 11:51,4.25,,United Kingdom
536619,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,12/3/2010 11:51,3.39,,United Kingdom
536619,84879,ASSORTED COLOUR BIRD ORNAMENT,4,12/3/2010 11:51,1.69,,United Kingdom
536619,84029E,RED WOOLLY HOTTIE WHITE HEART.,24,12/3/2010 11:51,3.39,,United Kingdom
536619,22623,BOX OF VINTAGE JIGSAW BLOCKS,48,12/3/2010 11:51,4.95,,United Kingdom
536619,85099B,,4,12/3/2010 11:51,1.95,,United Kingdom
536619,85123A,,48,12/3/2010 11:51,2.55,,United Kingdom
536619,22310,IVORY KNITTED MUG COSY,3,12/3/2010 11:51,1.65,,United Kingdom
536619,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,12/3/2010 11:51,4.25,,United Kingdom
536619,84879,ASSORTED COLOUR BIRD ORNAMENT,4,12/3/2010 11:51,1.69,,United Kingdom
536619,22197,SMALL POPCORN HOLDER,4,12/3/2010 11:51,0.85,,United Kingdom
536619,85099B,JUMBO BAG RED RETROSPOT,1,12/3/2010 11:51,1.95,,United Kingdom
536619,85099B,JUMBO BAG RED RETROSPOT,12,12/3/2010 11:51,1.95,,United Kingdom
536619,71053,WHITE METAL LANTERN,1,12/3/2010 11:51,3.39,,United Kingdom
536619,84406B,CREAM CUPID HEARTS COAT HANGER,6,12/3/2010 11:51,2.75,,United Kingdom
