Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
Data Scientist,$53K-$91K (Glassdoor est.),"Data Scientist
Location: New York, NY

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Excel, SQL.",3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA",501 to 1000 employees,1973,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,53,91,72.0,"Tecolote Research
",NM,0,47,1,0,0,0,1
Healthcare Data Scientist,$63K-$112K (Glassdoor est.),"Data Analyst
Location: New York, NY

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Spark, AWS, Excel, SQL.",3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+ employees,1984,Other Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),"Tecolote Research, Gallup",0,0,63,112,87.5,"University of Maryland Medical System
",MD,0,36,1,0,0,0,0
Data Scientist,$80K-$90K (Glassdoor est.),"Data Scientist
Location: Chicago, IL

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Spark, Excel, SQL.",4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),-1,0,0,80,90,85.0,"KnowBe4
",FL,1,10,1,0,1,0,1
Data Scientist,$56K-$97K (Glassdoor est.),"Senior Data Scientist
Location: Chicago, IL

We are looking for a senior data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, AWS, Excel, SQL.",3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Security Services,Business Services,$1 to $2 billion (USD),"Reynolds American, Affinity Solutions",0,0,56,97,76.5,"PNNL
",WA,1,55,1,0,0,0,0
Data Scientist,$86K-$143K (Glassdoor est.),"Data Analyst
Location: Arlington, VA

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Excel, SQL.",2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,0,0,86,143,114.5,"Affinity Solutions
",NY,1,22,1,0,0,0,1
Machine Learning Engineer,$111K-$168K (Glassdoor est.),"Machine Learning Engineer
Location: Linthicum, MD

We are looking for a machine learning engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Spark, AWS, Excel, SQL.",3.5,"Affinity Solutions
3.5","Linthicum, MD","Baltimore, MD",51 to 200 employees,1936,Government,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Walmart, ClearOne Advantage",0,0,111,168,139.5,"Affinity Solutions
",MD,0,84,1,0,1,1,1
Data Engineer,Employer Provided Salary:$87K-$129K,"Data Engineer
Location: Tampa, FL

We are looking for a data engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Excel, SQL.",4.1,"Liberty Mutual
4.1","Tampa, FL","Clearwater, FL",10000+ employees,1940,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$10+ billion (USD),"MassMutual, Reynolds American",0,1,87,129,108.0,"Liberty Mutual
",FL,1,80,0,0,0,0,1
Data Engineer,$103K-$142K (Glassdoor est.),"Data Engineer
Location: New York, NY

We are looking for a data engineer to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, SQL.",3.6,"KnowBe4
3.6","New York, NY","Arlington, VA",5001 to 10000 employees,1854,Other Organization,Security Services,Business Services,$10+ billion (USD),-1,0,0,103,142,122.5,"KnowBe4
",NY,0,166,1,0,0,0,0
Data Scientist,$88K-$138K (Glassdoor est.),"Data Scientist
Location: Goleta, CA

We are looking for a data scientist to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, Excel, SQL.",3.6,"Liberty Mutual
3.6","Goleta, CA","Goleta, CA",1 to 50 employees,1936,Government,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,88,138,113.0,"Liberty Mutual
",CA,1,84,1,0,0,0,1
Data Analyst,$34K-$57K (Glassdoor est.),"Data Analyst
Location: Chicago, IL

We are looking for a data analyst to join our analytics team. Responsibilities include building models, cleaning data and communicating insights. Required skills: Python, AWS, Excel, SQL.",4.3,"Blue Cross Blue Shield
4.3","Chicago, IL","Chicago, IL",10000+ employees,1880,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,0,0,34,57,45.5,"Blue Cross Blue Shield
",IL,1,140,1,0,0,1,1
