Experience,Education,JobRole,Location,Skills,Salary
7,PhD,UX Designer,Seattle,"Figma, UI Design",92813
19,Bachelor,Data Scientist,Seattle,"Java, Spring",101104
10,Master,Data Scientist,Chicago,"Recruitment, HR Policies",89223
5,PhD,Business Analyst,San Francisco,"Project Management, Agile",85725
8,PhD,Business Analyst,Boston,"Figma, UI Design",107868
5,Bachelor,Project Manager,New York,"Figma, UI Design",67375
19,Bachelor,HR Manager,Austin,"Python, Machine Learning",135061
19,Bachelor,UX Designer,Seattle,"Project Management, Agile",84361
20,Master,Data Scientist,Chicago,"Python, Machine Learning",124361
1,PhD,HR Manager,Boston,"Project Management, Agile",57540
2,Master,Software Engineer,Chicago,"Figma, UI Design",86093
16,Bachelor,Project Manager,San Francisco,"Figma, UI Design",104253
16,Bachelor,UX Designer,Seattle,"JavaScript, React",96343
7,Master,Project Manager,Seattle,"SQL, Excel",47109
5,Bachelor,HR Manager,New York,"Java, Spring",60846
4,Master,HR Manager,Austin,"Figma, UI Design",71480
1,Master,UX Designer,San Francisco,"Java, Spring",77792
3,Bachelor,Project Manager,Chicago,"Figma, UI Design",67534
14,Master,Software Engineer,Austin,"Figma, UI Design",108539
12,Master,Software Engineer,Seattle,"Project Management, Agile",99833
11,PhD,UX Designer,Boston,"Python, Machine Learning",82997
13,Master,Business Analyst,San Francisco,"Python, Machine Learning",104616
19,Bachelor,Data Scientist,San Francisco,"Figma, UI Design",108206
1,Bachelor,HR Manager,San Francisco,"Recruitment, HR Policies",72682
14,Bachelor,Business Analyst,Chicago,"Python, SQL",77765
6,Master,UX Designer,New York,"Figma, UI Design",87749
6,Master,Data Scientist,Seattle,"Python, Machine Learning",91703
8,Bachelor,Software Engineer,Austin,"Project Management, Agile",73994
14,Bachelor,Project Manager,San Francisco,"JavaScript, React",85870
20,Master,Data Scientist,New York,"Java, Spring",119175
10,Bachelor,Software Engineer,Boston,"Project Management, Agile",91306
5,PhD,Data Scientist,Boston,"Java, Spring",65370
8,Bachelor,Data Scientist,San Francisco,"Python, SQL",76776
7,Master,HR Manager,Seattle,"Recruitment, HR Policies",76542
15,Bachelor,Business Analyst,Seattle,"Recruitment, HR Policies",87483
17,Bachelor,Project Manager,Austin,"Java, Spring",77394
19,Bachelor,Business Analyst,Chicago,"SQL, Excel",87186
2,Master,Data Scientist,Seattle,"Python, Machine Learning",86708
1,Bachelor,Software Engineer,San Francisco,"Project Management, Agile",83335
18,Bachelor,Software Engineer,New York,"Java, Spring",121689
11,Bachelor,Data Scientist,Seattle,"JavaScript, React",76518
20,PhD,Data Scientist,Austin,"Python, Machine Learning",107981
5,Bachelor,Software Engineer,Austin,"Java, Spring",93235
14,PhD,HR Manager,New York,"Python, SQL",88772
15,PhD,HR Manager,Austin,"Recruitment, HR Policies",86485
16,Bachelor,Data Scientist,Seattle,"JavaScript, React",109413
13,Bachelor,Data Scientist,Seattle,"Recruitment, HR Policies",114599
13,Master,Business Analyst,San Francisco,"Python, SQL",88728
9,Master,HR Manager,San Francisco,"JavaScript, React",53422
12,Bachelor,Software Engineer,Austin,"Recruitment, HR Policies",57856
10,Bachelor,HR Manager,Chicago,"Python, Machine Learning",75395
2,Bachelor,Business Analyst,Chicago,"Python, Machine Learning",69904
15,Bachelor,HR Manager,Austin,"Python, SQL",47109
19,PhD,Project Manager,Austin,"SQL, Excel",84252
13,Bachelor,Software Engineer,Seattle,"Recruitment, HR Policies",90180
0,Master,Business Analyst,Chicago,"Python, SQL",61064
8,Bachelor,HR Manager,Austin,"Java, Spring",59366
13,PhD,Business Analyst,Seattle,"SQL, Excel",87956
9,Master,Business Analyst,Seattle,"Python, Machine Learning",113832
2,PhD,Project Manager,San Francisco,"Recruitment, HR Policies",106688
17,Bachelor,Business Analyst,Seattle,"Project Management, Agile",95530
5,Master,Business Analyst,Seattle,"Recruitment, HR Policies",88917
8,Bachelor,Software Engineer,Seattle,"Figma, UI Design",97874
16,Bachelor,Business Analyst,Chicago,"Figma, UI Design",95715
18,Master,Software Engineer,Austin,"JavaScript, React",91972
0,Bachelor,UX Designer,Chicago,"Java, Spring",58075
18,PhD,UX Designer,Seattle,"Java, Spring",122506
11,Bachelor,UX Designer,Seattle,"Python, Machine Learning",105777
11,Master,Software Engineer,New York,"Python, SQL",104082
14,Master,Business Analyst,San Francisco,"Java, Spring",95551
20,PhD,Project Manager,San Francisco,"Python, Machine Learning",113095
